# This file is a tab-delimited table of read counts and accession numbers
# for the samples from the winter 2018 S&R experiments with the 68 strain
# community.
# pool                  sample name
# raw_n_pairs           number of read pairs in the raw data
# trimmed_n_pairs       number of read pairs left after quality trimming
# aln_n_reads           number of reads (not pairs!) that aligned to USDA1106 (reference)
# marked_dups           number of reads marked as PCR duplicates by samtools
# dup_rate              proportion of reads that were marked as duplicates
# aln_rate              proportion of trimmed reads that aligned to the reference
# biosample_accession   BioSample for this pool
# sra_accession         SRA accession for this pool         
# description           Brief description of host genotype, community, and other conditions
pool	raw_n_pairs	trimmed_n_pairs	trimmed_rate	aln_n_reads	marked_dups	dup_rate	aln_rate	biosample_accession	sra_accession	description
C68_initial_1	3580266	3162810	0.883400842283786	5371900	182262	0.0339287775275042	0.849229008381787	SAMN09838915	SRR7699692	Initial synthetic community, 68 strain mixture
C68_initial_2	2832586	2462051	0.869188437703215	4182024	127937	0.030592124770207	0.849296785484947	SAMN09838916	SRR7699691	Initial synthetic community, 68 strain mixture
C68_initial_5	4300005	3822137	0.888868036199958	6489074	244427	0.0376674699656684	0.848880351489232	SAMN09838917	SRR7699694	Initial synthetic community, 68 strain mixture
C68_initial_8	2556482	2223462	0.869735049963192	3780160	112990	0.0298902691949547	0.850061750549368	SAMN09838918	SRR7699693	Initial synthetic community, 68 strain mixture
C68_R108_B10	5040081	4199591	0.833238791201967	6174749	220984	0.035788337307314	0.735160757321368	SAMN10182558	SRR7974437	M. truncatula R108 community in big nodules after inoculation with 68 strain mixture, undifferentiated bacteria
C68_R108_B10_D	3910827	3380429	0.864377023069545	5914753	193676	0.0327445626216344	0.874852422577134	SAMN10182563	SRR7974438	M. truncatula R108 community in big nodules after inoculation with 68 strain mixture, differentiated bacteria
C68_R108_B11	6222122	5374748	0.863812699268835	8610690	354009	0.0411127331259167	0.801031973964175	SAMN10182559	SRR7974436	M. truncatula R108 community in big nodules after inoculation with 68 strain mixture, undifferentiated bacteria
C68_R108_B12	5586732	4705413	0.84224784722088	6464016	238809	0.0369443701872025	0.686870206717242	SAMN10182560	SRR7974435	M. truncatula R108 community in big nodules after inoculation with 68 strain mixture, undifferentiated bacteria
C68_R108_B7	4887533	3953309	0.808855715142997	4019729	240186	0.0597517892375332	0.508400557608828	SAMN10182561	SRR7974434	M. truncatula R108 community in big nodules after inoculation with 68 strain mixture, undifferentiated bacteria
C68_R108_B7_D	2821677	2322971	0.823259005194429	4059911	96432	0.0237522448152189	0.873861748596948	SAMN10182564	SRR7974411	M. truncatula R108 community in big nodules after inoculation with 68 strain mixture, differentiated bacteria
C68_R108_B8	4821860	3887280	0.806178528617587	4612062	230971	0.0500797690924363	0.593224825584985	SAMN10182562	SRR7974439	M. truncatula R108 community in big nodules after inoculation with 68 strain mixture, undifferentiated bacteria
C68_R108_B9	4970619	4348513	0.874843354519829	6402531	267449	0.0417723865764961	0.736174756750181	SAMN09838920	SRR7699565	M. truncatula R108 community in big nodules after inoculation with 68 strain mixture, undifferentiated bacteria
C68_R108_B9_D	4387516	3917917	0.892969279200349	6852598	274261	0.0400229226929699	0.87452056794465	SAMN09838919	SRR7699564	M. truncatula R108 community in big nodules after inoculation with 68 strain mixture, differentiated bacteria
C68_R108_L1	4272145	3814309	0.892832289166215	3888211	122340	0.0314643418271282	0.50968746894916	SAMN09838921	SRR7699562	M. truncatula R108 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, low density inoculation
C68_R108_L2	4538126	4041606	0.890589199154012	5001674	167370	0.0334627966556797	0.618773081789764	SAMN09838922	SRR7699563	M. truncatula R108 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, low density inoculation
C68_R108_L3	4709214	4179940	0.887608845127871	5368676	176352	0.0328483223796705	0.642195342516878	SAMN09838923	SRR7699568	M. truncatula R108 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, low density inoculation
C68_R108_L4	5444908	4800029	0.881562920806008	7647626	306860	0.0401248701230944	0.79662289540334	SAMN09838924	SRR7699569	M. truncatula R108 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, low density inoculation
C68_R108_L5	4167989	3709645	0.890032339336788	5043266	156932	0.0311171371884806	0.679750488254267	SAMN09838925	SRR7699566	M. truncatula R108 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, low density inoculation
C68_R108_L6	4334064	3841663	0.886388156704654	4854927	150301	0.0309584469550212	0.631878303745019	SAMN09838926	SRR7699567	M. truncatula R108 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, low density inoculation
C68_R108_LN1	4626954	4116538	0.889686389793372	4092779	136564	0.0333670593990049	0.497114201302162	SAMN09838927	SRR7699570	M. truncatula R108 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, low density inoculation and nitrogen added
C68_R108_LN2	4177643	3704143	0.88665857757592	4958239	156984	0.0316612410172241	0.669282881357442	SAMN09838928	SRR7699571	M. truncatula R108 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, low density inoculation and nitrogen added
C68_R108_LN3	6131582	5346763	0.872003831963758	4347489	144075	0.0331398193301927	0.406553366962403	SAMN09838929	SRR7699650	M. truncatula R108 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, low density inoculation and nitrogen added
C68_R108_LN4	5680081	4977724	0.876347361947831	7406073	300374	0.0405577962842116	0.74392161959964	SAMN09838930	SRR7699649	M. truncatula R108 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, low density inoculation and nitrogen added
C68_R108_LN5	5823147	5086486	0.873494349361265	5439795	194104	0.0356822269956864	0.534730165383331	SAMN09838931	SRR7699648	M. truncatula R108 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, low density inoculation and nitrogen added
C68_R108_LN6	3992451	3511919	0.879639850307493	4482253	135177	0.0301582708517346	0.638148687370067	SAMN09838932	SRR7699647	M. truncatula R108 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, low density inoculation and nitrogen added
C68_R108_N1	5456154	4774605	0.875086187083429	6290260	227651	0.0361910318492399	0.658720459598229	SAMN09838933	SRR7699654	M. truncatula R108 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, nitrogen added
C68_R108_N2	5346957	4775909	0.893201310577212	5465673	194920	0.0356625798872344	0.572212849951706	SAMN09838934	SRR7699653	M. truncatula R108 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, nitrogen added
C68_R108_N3	4457831	3982006	0.893260870589307	4775427	149938	0.0313978205509162	0.599625791623619	SAMN09838935	SRR7699652	M. truncatula R108 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, nitrogen added
C68_R108_N4	4229610	3811676	0.90118852565603	4994447	152960	0.0306260132503158	0.655151041169291	SAMN09838936	SRR7699651	M. truncatula R108 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, nitrogen added
C68_R108_N5	5166515	4608825	0.892056831345694	4347661	139590	0.0321069190997182	0.47166696500735	SAMN09838937	SRR7699646	M. truncatula R108 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, nitrogen added
C68_R108_N6	6045398	5387841	0.891230155566267	5587783	205604	0.0367952728300294	0.518554927660263	SAMN09838938	SRR7699645	M. truncatula R108 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, nitrogen added
C68_R108_S10	5318106	4498738	0.845928606913815	6788779	235618	0.0347069774991939	0.75452037882624	SAMN10182577	SRR7974424	M. truncatula R108 community in small nodules after inoculation with 68 strain mixture, undifferentiated bacteria
C68_R108_S10_D	3909752	3366792	0.861126741542686	5934158	186499	0.0314280475848469	0.8812777860943	SAMN10182582	SRR7974421	M. truncatula R108 community in small nodules after inoculation with 68 strain mixture, differentiated bacteria
C68_R108_S11	6358328	5235631	0.823428895143503	8540299	359298	0.0420708923657123	0.815594051605241	SAMN10182578	SRR7974427	M. truncatula R108 community in small nodules after inoculation with 68 strain mixture, undifferentiated bacteria
C68_R108_S12	5735809	4971384	0.866727605469429	8487365	343069	0.0404211436647299	0.853621949139314	SAMN10182579	SRR7974426	M. truncatula R108 community in small nodules after inoculation with 68 strain mixture, undifferentiated bacteria
C68_R108_S7	3961194	3327113	0.839926799848733	3967172	158730	0.0400108692035536	0.596188347074476	SAMN10182580	SRR7974429	M. truncatula R108 community in small nodules after inoculation with 68 strain mixture, undifferentiated bacteria
C68_R108_S7_D	3546469	2970507	0.837595647952936	5209261	147756	0.0283641000134184	0.876830285200472	SAMN10182583	SRR7974420	M. truncatula R108 community in small nodules after inoculation with 68 strain mixture, differentiated bacteria
C68_R108_S8	4560462	3964854	0.869397442627523	6448084	222862	0.0345625150044571	0.813155288946327	SAMN10182581	SRR7974428	M. truncatula R108 community in small nodules after inoculation with 68 strain mixture, undifferentiated bacteria
C68_R108_S9	4680522	4081794	0.872080934562427	6435996	261740	0.0406681421181741	0.788378345404006	SAMN09838940	SRR7699670	M. truncatula R108 community in small nodules after inoculation with 68 strain mixture, undifferentiated bacteria
C68_R108_S9_D	3919849	3516294	0.897048330178025	6186748	233015	0.0376635673539637	0.87972564296387	SAMN09838939	SRR7699669	M. truncatula R108 community in small nodules after inoculation with 68 strain mixture, differentiated bacteria
C68_R108_X1	3933807	3530106	0.897376510845601	4241421	125070	0.0294877589373939	0.600749807512862	SAMN09838942	SRR7699672	M. truncatula R108 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria
C68_R108_X1_D	3467313	3063223	0.883457305412001	5401193	182937	0.0338697395186582	0.881619294449017	SAMN09838941	SRR7699671	M. truncatula R108 nodule community after inoculation with 68 strain mixture, differentiated bacteria
C68_R108_X2	4450984	3982187	0.894675649249694	4610853	143014	0.0310168205319059	0.578934766247793	SAMN09838944	SRR7699666	M. truncatula R108 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria
C68_R108_X2_D	4149407	3609364	0.869850559369086	6304237	223690	0.0354824858265957	0.873316877987368	SAMN09838943	SRR7699665	M. truncatula R108 nodule community after inoculation with 68 strain mixture, differentiated bacteria
C68_R108_X3	5276070	4679662	0.886959801518934	5175255	176239	0.0340541673791919	0.552951794381731	SAMN09838945	SRR7699667	M. truncatula R108 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria
C68_R108_X4	5180617	4583842	0.884806192003771	4196575	166132	0.0395875207758708	0.457757379071966	SAMN09838946	SRR7699668	M. truncatula R108 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria
C68_R108_X5	3764717	3369942	0.895138200295002	4460109	129860	0.0291158803518031	0.661748629501635	SAMN09838947	SRR7699673	M. truncatula R108 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria
C68_R108_X6	3985880	3572050	0.896176001284534	4793607	148662	0.0310125548464862	0.67098822804832	SAMN09838948	SRR7699674	M. truncatula R108 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria
C68_trna18-1_D1	4590601	3888087	0.846966878628746	5873655	175500	0.029879180850765	0.755339965386577	SAMN10182584	SRR7974417	M. truncatula R108 trna18-1 nodule community after inoculation with 68 strain mixture, differentiated bacteria, mutant experiment
C68_trna18-1_D2	5055498	4379049	0.866195377784741	7104480	251893	0.0354555153931041	0.811189826832264	SAMN10182585	SRR7974418	M. truncatula R108 trna18-1 nodule community after inoculation with 68 strain mixture, differentiated bacteria, mutant experiment
C68_trna18-1_D3	5989596	5221105	0.871695686987904	8084842	322736	0.0399186527083646	0.774246256300151	SAMN10182586	SRR7974419	M. truncatula R108 trna18-1 nodule community after inoculation with 68 strain mixture, differentiated bacteria, mutant experiment
C8_A17_X1	5211451	4675351	0.897130376933411	3969061	130837	0.03296422000065	0.424466633628149	SAMN09838949	SRR7699597	M. truncatula A17 nodule community after inoculation with 8 strain mixture, undifferentiated bacteria
C8_A17_X2	5384007	4798393	0.891230824922776	4390168	146759	0.0334290168394467	0.457462321239632	SAMN09838950	SRR7699596	M. truncatula A17 nodule community after inoculation with 8 strain mixture, undifferentiated bacteria
C8_A17_X4	5062191	4470154	0.883047281305664	4118615	137402	0.0333612148744177	0.460679318878052	SAMN09838951	SRR7699599	M. truncatula A17 nodule community after inoculation with 8 strain mixture, undifferentiated bacteria
C8_A17_X5	4991640	4434180	0.888321273168738	3349935	106968	0.0319313658324714	0.377740078210627	SAMN09838952	SRR7699598	M. truncatula A17 nodule community after inoculation with 8 strain mixture, undifferentiated bacteria
C8_A17_X6	4597973	4056516	0.882240065350536	3653661	113806	0.0311484836715831	0.450344704667749	SAMN09838953	SRR7699593	M. truncatula A17 nodule community after inoculation with 8 strain mixture, undifferentiated bacteria
C8_initial_2	4105705	3630924	0.884360664002893	6055956	230586	0.0380759041181937	0.833941443004591	SAMN09838954	SRR7699592	Initial synthetic community, 8 strain mixture
C8_initial_3	1856785	1576917	0.849272802182267	2632977	70691	0.0268483165633426	0.834849583078881	SAMN09838955	SRR7699595	Initial synthetic community, 8 strain mixture
C8_initial_5	3000757	2625562	0.87496655010719	4376901	138944	0.031744834987129	0.833516976555876	SAMN09838956	SRR7699594	Initial synthetic community, 8 strain mixture
C8_initial_6	2756149	2355174	0.854516210843463	3948202	125111	0.0316880949860215	0.838197517465801	SAMN09838957	SRR7699601	Initial synthetic community, 8 strain mixture
C8_R108_X1	3632081	3257866	0.896969533443775	4545283	132788	0.0292144625538168	0.69758593508757	SAMN09838958	SRR7699600	M. truncatula R108 nodule community after inoculation with 8 strain mixture, undifferentiated bacteria
C8_R108_X2	3743716	3320732	0.887014933825109	4915841	150727	0.0306614880342957	0.740174304942404	SAMN09838959	SRR7699618	M. truncatula R108 nodule community after inoculation with 8 strain mixture, undifferentiated bacteria
C8_R108_X3	5169273	4519234	0.8742494350753	5909401	211499	0.0357902602988019	0.653805600683656	SAMN09838960	SRR7699619	M. truncatula R108 nodule community after inoculation with 8 strain mixture, undifferentiated bacteria
C8_R108_X4	4679581	4187246	0.89479079430402	6796225	238512	0.035094776879812	0.811538777516296	SAMN09838961	SRR7699616	M. truncatula R108 nodule community after inoculation with 8 strain mixture, undifferentiated bacteria
